171	1115	5	48.57
634	142	3	16.47
131	319	5	22.62
326	978	4	45.13
39	129	6	15.14
278	14	23	44.59
21	2	6	6.51
243	119	6	17.16
140	1976	3	24.52
257	117	4	8.98
1890	14	3	6.56
103	999	4	13.05
212	104	6	4.92
306	109	3	5.37
115	460	7	33.45
317	104	5	8.15
109	2417	3	19.41
963	104	3	9.41
141	117	9	8.83
128	119	16	25.05
111	1158	8	58.94
603	174	6	51.88
2116	119	4	30.22
324	108	4	9.92
159	376	5	31.76
101	361	11	28.01
102	1265	3	8.62
105	4946	3	27.52
105	687	5	21.69
111	1020	12	99.05
1211	12	3	5.1
4576	12	3	14.24
104	449	4	8.05
143	158	8	22.95
136	385	3	12.57
217	4618	3	38.58
12	6381	3	18.64
12	125	84	78.21
104	2732	5	35.97
348	108	5	15.13
818	210	6	61.41
112	802	3	12.37
322	180	5	33.99
1712	14	3	5.91
250	101	9	9.87
170	457	3	19.15
45	217	3	12.58
1570	185	4	41.67
226	654	9	97.82
559	226	7	68.44
2110	410	3	38.9
149	242	3	10.19
3351	1761	3	53.34
748	104	3	7.89
229	113	4	6.17
149	102	27	25.7
109	267	10	34.7
199	5221	3	42.2
2246	497	3	41.14
139	12	41	14.62
2256	1616	5	91.86
1224	384	3	35.04
875	356	5	58.89
109	590	4	15.41
102	762	5	14.21
113	134	12	11.17
329	143	7	39.34
113	189	13	39.25
2075	101	4	18.17
135	295	4	15.59
107	1075	3	13.92
101	688	3	4.83
16	380	3	9.4
124	4020	3	28.74
57	241	3	6.34
1526	124	3	20.4
255	106	4	6.59
608	108	4	15.53
12	374	6	4.46
136	134	5	4.61
238	125	4	11.29
111	826	7	42.52
289	120	4	11
4741	113	3	29.49
264	184	4	22.43
12	2815	3	10.6
4454	1022	3	51.58
136	175	3	5.01
12	359	17	41.78
137	953	3	19.21
101	840	11	52.85
479	251	5	45.05
110	392	4	12.22
236	143	4	13.28
148	2914	3	28.28
178	101	13	9.63
1403	14	6	18.71
2510	14	3	8.23
232	219	3	15.69
142	5226	3	35.17
118	252	5	13.15
8	2558	3	25.02
115	664	4	18.35
102	612	9	32.29
2323	2570	6	128.99
45	135	3	5
114	148	12	17.56
211	102	36	116.92
3529	14	3	10.83
2777	14	4	15.7
183	236	4	20.9
101	2228	6	37.88
511	119	3	10.67
111	929	6	35.73
694	14	5	6.5
151	122	6	7.04
4798	1572	3	59.31
1149	12	6	18.9
998	114	5	28.96
16	280	9	39.68
1743	479	3	39.08
237	165	5	25.76
1010	111	4	21.16
105	274	4	6.48
105	326	3	4.86
3468	114	4	34.51
132	797	6	43.95
436	218	3	21.61
85	235	3	8.97
102	1248	3	8.62
107	105	54	67.38
137	187	5	14.21
2962	14	4	15.7
123	14	60	9.2
12	734	11	37.62
172	117	7	14.11
632	729	3	34.88
2578	101	3	13.63
1019	14	7	19.54
107	1437	3	15.98
134	245	5	18.24
112	338	3	6.54
859	110	6	34.17
8	2813	3	25.02
338	116	5	17.62
105	1604	3	15.44
128	191	4	8.86
119	235	3	4.69
5659	126	3	33.59
141	126	5	3.98
119	111	19	13.06
1738	276	3	34.64
1710	107	3	16.64
118	759	3	13.63
537	258	3	24.69
369	12	6	4.3
257	126	3	7.58
165	124	5	8.95
106	1922	3	17.37
186	783	4	34.29
102	1369	7	35.67
1739	5146	3	60.07
164	212	4	17.21
867	14	4	5.27
116	2888	3	22.34
634	101	7	21
189	1502	3	28.7
908	111	3	13.24
102	5838	3	22.16
613	113	5	23.22
613	305	6	64.88
101	1161	3	7.83
105	3713	3	23.04
146	3448	4	43.76
2151	14	3	7.32
108	511	4	13.8
141	200	3	6.68
135	2160	3	24.07
119	225	7	20.38
104	1681	4	19.8
117	1067	3	15.58
117	915	4	22.26
417	12	7	8.33
127	118	101	514.98
140	1835	4	34.45
116	151	6	5.42
85	181	3	6.37
1918	111	3	17.86
2182	14	3	7.32
155	108	7	5.58
102	1299	3	8.62
12	745	19	97.22
106	950	3	12.76
131	182	4	8.6
1	2	3	5.09
209	105	6	8.73
105	400	6	20.24
495	114	5	20.54
551	12	5	5.56
1542	12	3	6.48
117	811	5	28.59
327	104	6	12.34
104	742	3	7.64
1354	921	3	41.81
105	1168	3	13.19
384	310	3	24.71
124	1008	5	35.61
9	85	5	4.51
111	3857	3	24.74
101	1476	3	9.32
165	14	29	16.14
235	1061	3	28.63
475	122	3	10.97
171	588	9	85.35
109	556	3	9.29
232	101	22	53.3
124	498	3	12.68
113	102	246	651.94
160	120	5	5.13
113	242	6	14.45
134	981	3	18.81
102	615	6	16.34
372	263	24	296.28
106	265	22	111.48
4428	113	3	25.01
526	109	3	8.95
238	113	8	23.24
136	102	36	29.78
101	710	5	12.76
101	761	3	5.28
223	830	3	26.58
264	168	4	21.04
1734	14	4	10.33
308	152	3	13.34
193	145	6	21.66
142	2580	5	53.24
129	1425	4	30.07
365	192	3	18.76
133	722	6	42.71
109	1517	3	16.15
242	106	4	6.01
158	252	12	81.25
204	16	5	10.76
151	162	4	9.88
904	12	4	6.67
619	104	3	6.54
107	682	3	11
2559	9	3	25.01
1941	102	5	24.78
106	1287	5	30.7
239	1988	4	47.84
118	2739	3	22.65
101	1777	4	16.95
101	1673	6	30.33
152	438	4	23.99
109	101	113	112.32
1308	112	3	15.43
149	134	11	31.3
102	1095	5	18.35
211	134	3	6.78
215	143	4	12.02
462	14	20	62.4
400	516	14	187.02
113	394	3	7.82
451	105	11	53.87
263	122	3	6.22
3379	101	3	15.16
1870	121	3	20.32
118	435	9	49.6
174	328	10	81.92
930	12	6	15.47
1925	12	4	12.95
791	155	3	20.76
109	142	55	198.39
104	1269	6	31.89
109	256	9	28.43
132	316	4	16.43
104	578	15	81.65
386	173	6	45.32
155	756	3	20.47
1625	110	5	34.87
2532	14	3	8.23
101	1068	4	11.69
348	119	4	13.04
800	14	6	11.25
2287	101	3	12.44
12	152	95	227.6
106	473	10	51.9
1958	432	3	39.33
